('music', 'NN')
('in', 'IN')
('this', 'DT')
('short', 'JJ')
('video', 'NN')
('we', 'PRP')
('will', 'MD')
('remind', 'VB')
('you', 'PRP')
('of', 'IN')
('special', 'JJ')
('relativity', 'NN')
('and', 'CC')
('the', 'DT')
('notation', 'NN')
('of', 'IN')
('four-vectors', 'NNS')
('which', 'WDT')
('are', 'VBP')
('essential', 'JJ')
('tools', 'NNS')
('to', 'TO')
('work', 'VB')
('with', 'IN')
('in', 'IN')
('high', 'JJ')
('energy', 'NN')
('physics', 'NNS')
('this', 'DT')
('course', 'NN')
('will', 'MD')
('treat', 'VB')
('phenomena', 'NNS')
('at', 'IN')
('high', 'JJ')
('energy', 'NN')
('so', 'RB')
('at', 'IN')
('velocity', 'NN')
('which', 'WDT')
('requires', 'VBZ')
('relativistic', 'JJ')
('treatment', 'NN')
('the', 'DT')
('fundamental', 'JJ')
('principles', 'NNS')
('of', 'IN')
('special', 'JJ')
('relativity', 'NN')
('which', 'WDT')
('have', 'VBP')
('been', 'VBN')
('based', 'VBN')
('on', 'IN')
('experimental', 'JJ')
('findings', 'NNS')
('are', 'VBP')
('that', 'IN')
('the', 'DT')
('speed', 'NN')
('of', 'IN')
('light', 'JJ')
('is', 'VBZ')
('constant', 'JJ')
('at', 'IN')
('the', 'DT')
('same', 'JJ')
('value', 'NN')
('in', 'IN')
('every', 'DT')
('inertial', 'JJ')
('frame', 'NN')
('it', 'PRP')
('means', 'VBZ')
('that', 'IN')
('the', 'DT')
('galilean', 'JJ')
('way', 'NN')
('of', 'IN')
('adding', 'VBG')
('velocity', 'NN')
('is', 'VBZ')
('not', 'RB')
('valid', 'JJ')
('at', 'IN')
('high', 'JJ')
('speeds', 'NNS')
('this', 'DT')
('way', 'NN')
('the', 'DT')
('speed', 'NN')
('of', 'IN')
('light', 'NN')
('is', 'VBZ')
('maximum', 'JJ')
('velocity', 'NN')
('which', 'WDT')
('can', 'MD')
('not', 'RB')
('be', 'VB')
('exceeded', 'VBN')
('in', 'IN')
('any', 'DT')
('frame', 'NN')
('motion', 'NN')
('is', 'VBZ')
('described', 'VBN')
('in', 'IN')
('four-dimensional', 'JJ')
('space', 'NN')
('called', 'VBN')
('space-time', 'NN')
('an', 'DT')
('event', 'NN')
('in', 'IN')
('space-time', 'NN')
('is', 'VBZ')
('localized', 'VBN')
('by', 'IN')
('the', 'DT')
('carthesian', 'JJ')
('coordinates', 'NNS')
('ct', 'VBP')
('where', 'WRB')
('is', 'VBZ')
('the', 'DT')
('time', 'NN')
('and', 'CC')
('where', 'WRB')
('is', 'VBZ')
('the', 'DT')
('position', 'NN')
('and', 'CC')
('this', 'DT')
('is', 'VBZ')
('described', 'VBN')
('by', 'IN')
('four-vector', 'JJ')
('x_Ã\x83Â¢Ã\x82Âµ', 'NN')
('the', 'DT')
('metric', 'JJ')
('of', 'IN')
('space', 'NN')
('time', 'NN')
('is', 'VBZ')
('defined', 'VBN')
('by', 'IN')
('the', 'DT')
('speed', 'NN')
('of', 'IN')
('light', 'JJ')
('invariant', 'JJ')
('constant', 'NN')
('in', 'IN')
('every', 'DT')
('inertial', 'JJ')
('frame', 'NN')
('so', 'RB')
('suppose', 'JJ')
('that', 'IN')
('light', 'JJ')
('ray', 'NN')
('connects', 'VBZ')
('two', 'CD')
('events', 'NNS')
('(', '(')
('ct_1', 'NN')
('x_1', 'NNP')
(')', ')')
('and', 'CC')
('(', '(')
('ct_2', 'NN')
('x2', 'NN')
(')', ')')
('the', 'DT')
