('music', 'NN')
('in', 'IN')
('this', 'DT')
('video', 'NN')
('will', 'MD')
('give', 'VB')
('you', 'PRP')
('little', 'JJ')
('insight', 'NN')
('into', 'IN')
('how', 'WRB')
('one', 'CD')
('uses', 'VBZ')
('the', 'DT')
('particle', 'NN')
('detectors', 'NNS')
('which', 'WDT')
('we', 'PRP')
('have', 'VBP')
('introduced', 'VBN')
('in', 'IN')
('module', 'NN')
('3', 'CD')
('to', 'TO')
('detect', 'VB')
('charged', 'VBN')
('particles', 'NNS')
('and', 'CC')
('light', 'NN')
('at', 'IN')
('the', 'DT')
('end', 'NN')
('of', 'IN')
('this', 'DT')
('video', 'NN')
('you', 'PRP')
('will', 'MD')
('know', 'VB')
('how', 'WRB')
('one', 'CD')
('integrates', 'VBZ')
('semiconductor', 'NN')
('sensors', 'NNS')
('into', 'IN')
('so-called', 'JJ')
('particle', 'NN')
('trackers', 'NNS')
('which', 'WDT')
('reconstruct', 'VBP')
('the', 'DT')
('trajectory', 'NN')
('of', 'IN')
('particles', 'NNS')
('and', 'CC')
('how', 'WRB')
('one', 'CD')
('uses', 'VBZ')
('light', 'JJ')
('detection', 'NN')
('techniques', 'NNS')
('to', 'TO')
('detect', 'VB')
('particles', 'NNS')
('using', 'VBG')
('scintillators', 'NNS')
('we', 'PRP')
('have', 'VBP')
('already', 'RB')
('introduced', 'VBN')
('the', 'DT')
('principles', 'NNS')
('of', 'IN')
('particle', 'NN')
('detection', 'NN')
('by', 'IN')
('semiconductor', 'NN')
('detectors', 'NNS')
('in', 'IN')
('video', 'NN')
('3.8', 'CD')
('and', 'CC')
('by', 'IN')
('scintillators', 'NNS')
('in', 'IN')
('video', 'NN')
('3.9.', 'CD')
('so', 'RB')
('to', 'TO')
('my', 'PRP$')
('right', 'NN')
('you', 'PRP')
('see', 'VBP')
('two', 'CD')
('applications', 'NNS')
('of', 'IN')
('semiconductor', 'NN')
('detectors', 'NNS')
('on', 'IN')
('top', 'NN')
('for', 'IN')
('the', 'DT')
('atlas', 'JJ')
('experiment', 'NN')
('of', 'IN')
('the', 'DT')
('lhc', 'NN')
('at', 'IN')
('cern', 'JJ')
('and', 'CC')
('below', 'IN')
('by', 'IN')
('the', 'DT')
('space', 'NN')
('experiment', 'NN')
('ams', 'NNS')
('installed', 'VBN')
('on', 'IN')
('the', 'DT')
('international', 'JJ')
('space', 'NN')
('station', 'NN')
('let', 'VB')
('us', 'PRP')
('start', 'VB')
('by', 'IN')
('the', 'DT')
('top', 'JJ')
('set-up', 'NN')
('you', 'PRP')
('see', 'VBP')
('here', 'RB')
('part', 'NN')
('of', 'IN')
('the', 'DT')
('atlas', 'NNS')
('forward', 'RB')
('detector', 'NN')
('and', 'CC')
('the', 'DT')
('particles', 'NNS')
('enter', 'VBP')
('this', 'DT')
('part', 'NN')
('of', 'IN')
('the', 'DT')
('detector', 'NN')
('in', 'IN')
('roughly', 'RB')
('this', 'DT')
('direction', 'NN')
('they', 'PRP')
('are', 'VBP')
('localised', 'VBN')
('by', 'IN')
('these', 'DT')
('silicon', 'JJ')
('microstrip', 'NN')
('detectors', 'NNS')
('which', 'WDT')
('you', 'PRP')
('see', 'VBP')
('on', 'IN')
('my', 'PRP$')
('left', 'NN')
('there', 'EX')
('are', 'VBP')
('in', 'IN')
('fact', 'NN')
('two', 'CD')
('superimposed', 'JJ')
('detectors', 'NNS')
('glued', 'VBN')
('to', 'TO')
('each', 'DT')
('other', 'JJ')
('they', 'PRP')
('make', 'VBP')
